filename,method,sigma,metric_max,metric_mean,metric_std
Alexa.jpg,gradient,,255,5.46545625,9.84073009974375
Buenos_Aires.jpg,gradient,,255,10.255744371822804,13.781865719853704
Piano_Man.jpg,gradient,,255,0.8871386666666666,4.078259073359394
Tatto_Studio.jpg,gradient,,255,5.363053666666667,13.384602803288058
Ushuaia.jpg,gradient,,137,3.721771416666667,4.800322673746318
Alexa.jpg,Laplacian_direct,,255,5.144789875,8.664963931475084
Alexa.jpg,LoG_sigma_0.2,0.2,255,5.144789875,8.664963931475084
Alexa.jpg,LoG_sigma_0.7,0.7,146,2.587683166666667,4.04839904517205
Alexa.jpg,LoG_sigma_1.5,1.5,76,1.2013396666666667,2.0435885117344985
Alexa.jpg,LoG_sigma_3.0,3.0,20,0.7767053333333334,1.4777437165619154
Alexa.jpg,LoG_sigma_5.5,5.5,12,0.6655216666666667,1.3430808778813565
Buenos_Aires.jpg,Laplacian_direct,,240,7.513495023281644,9.390208160975412
Buenos_Aires.jpg,LoG_sigma_0.2,0.2,240,7.513495023281644,9.390208160975412
Buenos_Aires.jpg,LoG_sigma_0.7,0.7,116,3.8751320005126235,4.416581521850143
Buenos_Aires.jpg,LoG_sigma_1.5,1.5,56,2.4265034815669186,2.5004019558956663
Buenos_Aires.jpg,LoG_sigma_3.0,3.0,20,1.8460485283437993,1.8718057586704335
Buenos_Aires.jpg,LoG_sigma_5.5,5.5,10,1.5383382459737707,1.6975876136952368
Piano_Man.jpg,Laplacian_direct,,222,0.8922243333333333,3.472366494530959
Piano_Man.jpg,LoG_sigma_0.2,0.2,222,0.8922243333333333,3.472366494530959
Piano_Man.jpg,LoG_sigma_0.7,0.7,110,0.512516,1.8117252412394105
Piano_Man.jpg,LoG_sigma_1.5,1.5,42,0.23517183333333333,0.9826835072765318
Piano_Man.jpg,LoG_sigma_3.0,3.0,16,0.1261695,0.6571366605228195
Piano_Man.jpg,LoG_sigma_5.5,5.5,10,0.10567483333333333,0.5843616142994326
Tatto_Studio.jpg,Laplacian_direct,,255,5.252381541666667,9.203613869875207
Tatto_Studio.jpg,LoG_sigma_0.2,0.2,255,5.252381541666667,9.203613869875207
Tatto_Studio.jpg,LoG_sigma_0.7,0.7,214,2.893523666666667,5.239131364749938
Tatto_Studio.jpg,LoG_sigma_1.5,1.5,56,1.3301733333333334,2.6681509021459453
Tatto_Studio.jpg,LoG_sigma_3.0,3.0,24,0.6906901666666667,1.4734711037784123
Tatto_Studio.jpg,LoG_sigma_5.5,5.5,10,0.5369111666666667,1.2417062450952878
Ushuaia.jpg,Laplacian_direct,,255,3.985023291666667,4.443289817977309
Ushuaia.jpg,LoG_sigma_0.2,0.2,255,3.985023291666667,4.443289817977309
Ushuaia.jpg,LoG_sigma_0.7,0.7,106,2.36231175,2.586801569985337
Ushuaia.jpg,LoG_sigma_1.5,1.5,30,1.2432699166666668,1.7731405512005132
Ushuaia.jpg,LoG_sigma_3.0,3.0,14,0.8118038333333333,1.458949463204708
Ushuaia.jpg,LoG_sigma_5.5,5.5,8,0.6103368333333333,1.300701714412893
